fid,Stations,Nom,LONG,LAT,Station,y,x,layer,path
1,,,,,Terril Trazegnies st2,,,Station_Terril Trazegnies st2,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Trazegnies st2.gpkg|layername=Station_Terril Trazegnies st2
1,,,,,Terril sacrÃ©-FranÃ§ais st2,,,Station_Terril sacrÃ©-FranÃ§ais st2,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril sacrÃ©-FranÃ§ais st2.gpkg|layername=Station_Terril sacrÃ©-FranÃ§ais st2
2,Vieille Haine,,,,,,,Vieill_Haine fid_2,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Vieill_Haine.gpkg|layername=fid_2
1,,,,,camp-a-cayaux,122888.908253567133215,123702.439859520367463,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
2,,,,,omya,122567.558220223072567,124200.441978717615712,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
3,,,,,social,127605.486964212439489,120349.716484881879296,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
4,,,,,jardin_suspendu,126302.768728401410044,120264.479546003800351,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
5,,,,,prés_du_village,126313.228738689489546,121599.953773708315566,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
6,,,,,cascade,125301.102171597376582,121467.583963297322043,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
7,,,,,mont_panisel,124763.204147477270453,122427.964963182021165,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
8,,,,,cimetierre_spienne,123722.833000107886619,122494.107576460723067,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
9,,,,,moulin,123464.448194115160732,122794.088820201810449,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
10,,,,,silex,123189.297766630596016,122485.020830289649894,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
11,,,,,pont_prince,122727.301587313049822,121744.503912767380825,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
12,,,,,trouille,121705.733784144336823,124622.471145237577730,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
13,,,,,ronveaux,123383.305271046730923,120082.047654665875598,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
14,,,,,gare,124173.850328916552826,119928.969171144854045,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
15,,,,,ancienne_gare,122390.256586317613255,125124.473727454460459,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
16,,,,,bois_havré,127470.203333636527532,124672.684392724186182,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
17,,,,,chateau_havré,128223.746601056103827,126610.753982642680057,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
18,,,,,village_abeille,128066.858478607537108,120629.729490964702563,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
19,,,,,notre_dame_petit_nimy,128865.791069319442613,121055.225436520195217,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
20,,,,,pemh_obourg,129502.379173341687419,122350.290278597254655,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
21,,,,,parc_obourg,129092.736948109755758,124370.149058511873591,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
22,,,,,haine,127739.239874337130459,119947.198020422350965,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
23,,,,,géothermia,127965.772528100322234,117748.245309729056316,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
24,,,,,gd_large,129381.369134482360096,119247.224667031667195,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
25,,,,,tilou,131882.344528299203375,121393.199434414869756,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
26,,,,,epargne,126229.748140467461781,120736.457020698857377,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
27,,,,,st_waudru,127056.324767191705178,120036.533379791551852,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
