Station,y,x,layer,path
chateau_havré,6527090.325781333260238,449654.251790455600712,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
village_abeille,6526796.705168087035418,440278.043317003699485,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
notre_dame_petit_nimy,6528056.507856411859393,440938.282562876236625,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
pemh_obourg,6529068.425169989466667,442963.811051933094859,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
parc_obourg,6528440.293590170331299,446134.608662410755642,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
haine,6526275.630105256102979,439210.872715691279154,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
géothermia,6526611.353660328313708,435761.342080416507088,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
gd_large,6528851.141442771069705,438098.504001864406746,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
tilou,6532803.842775082215667,441442.605729127186351,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
epargne,6523909.989562439732254,440461.331394590437412,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
st_waudru,6525202.944641043432057,439357.001164181041531,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
